COUNT;HORN RULES (filtered)
2/72;frisør & mann ---> mellom 50 og 60
2/72;yngre enn 20 & forfatter & mann ---> FALSE
2/72;forfatter & mellom 30 og 40 & mann ---> FALSE
2/72;mellom 20 og 30 & Bodø & Nord Amerika & kvinne ---> FALSE
2/72;mellom 30 og 40 & Nord Amerika & kvinne ---> Tromsø
2/72;Bergen & Australia & kvinne & mellom 50 og 60 & advokat ---> FALSE
2/72;mellom 20 og 30 & Tromsø & Nord Amerika & kvinne ---> FALSE
2/72;Europa & mellom 50 og 60 ---> kvinne
2/72;yngre enn 20 & Stavanger ---> kvinne
2/72;yngre enn 20 & Bodø & kvinne ---> FALSE
2/72;Bodø & Nord Amerika & kvinne & advokat ---> FALSE
2/72;Kristiansand & mellom 30 og 40 & kvinne ---> FALSE
2/72;kvinne & eldre enn 60 & rørlegger ---> FALSE
2/72;frisør & Stavanger & mann ---> Afrika
2/72;frisør & Stavanger & mann ---> mellom 30 og 40
2/72;yngre enn 20 & frisør ---> kvinne
2/72;kvinne & eldre enn 60 & elektriker ---> FALSE
2/72;kvinne & mellom 50 og 60 & rørlegger ---> FALSE
2/72;mellom 20 og 30 & Tromsø & kvinne ---> FALSE
2/72;mellom 20 og 30 & kvinne & elektriker ---> FALSE
2/72;elektriker ---> mann
2/72;Oslo & kvinne & elektriker ---> FALSE
2/72;Stavanger & kvinne & mellom 40 og 50 ---> FALSE
2/72;Sør Amerika & kvinne & rørlegger ---> FALSE
2/72;mann & mellom 50 og 60 & modell ---> FALSE
2/72;mellom 30 og 40 & kvinne & elektriker ---> FALSE
2/72;mellom 30 og 40 & Europa ---> mann
2/72;kvinne & mellom 50 og 60 & elektriker ---> FALSE
2/72;mellom 30 og 40 & kvinne & rørlegger ---> FALSE
2/72;mellom 20 og 30 & Stavanger ---> Sør Amerika
2/72;mellom 20 og 30 & Stavanger ---> frisør
2/72;yngre enn 20 & Kristiansand ---> mann
2/72;Bergen & kvinne & elektriker ---> FALSE
2/72;Bergen & kvinne & rørlegger ---> FALSE
2/72;Trondheim & mann & modell ---> FALSE
2/72;Nord Amerika & kvinne & mellom 50 og 60 ---> Tromsø
2/72;Oslo & modell ---> kvinne
2/72;mellom 30 og 40 & Tromsø ---> mann
2/72;Oslo & kvinne ---> modell
2/72;Stavanger & kvinne ---> modell
2/72;kvinne & mellom 40 og 50 ---> modell
2/72;sykepleier & Tromsø ---> kvinne
2/72;Tromsø & kvinne ---> modell
2/72;Ålesund & kvinne ---> Australia
