ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS)
monica;16;0;0.156;0.0;-0.156
andreas;0;16;0.0;0.124;0.124
johan;0;16;0.0;0.162;0.162
lars;0;16;0.0;0.12;0.12
line;16;0;0.108;0.0;-0.108
regissør;9;7;0.03;0.017;-0.014
ble;14;1;0.022;0.024;0.002
er;13;2;0.025;0.009;-0.015
vulkan;9;6;0.032;0.015;-0.016
ø;7;8;0.021;0.018;-0.003
ole;0;15;0.0;0.056;0.056
bank;10;5;0.045;0.017;-0.028
heks;15;0;0.013;0.0;-0.013
bangla;12;2;0.021;0.015;-0.006
helga;14;0;0.111;0.0;-0.111
amalie;14;0;0.078;0.0;-0.078
matt;0;14;0.0;0.016;0.016
olaf;0;14;0.0;0.143;0.143
kristian;0;14;0.0;0.129;0.129
christina;14;0;0.037;0.0;-0.037
odd;0;14;0.0;0.077;0.077
ham;1;13;0.005;0.022;0.017
eiendomsmegler;0;14;0.0;0.021;0.021
reporter;6;7;0.027;0.018;-0.009
camilla;13;0;0.181;0.0;-0.181
marie;13;0;0.05;0.0;-0.05
ingrid;13;0;0.177;0.0;-0.177
kristin;13;0;0.069;0.0;-0.069
magnus;0;13;0.0;0.105;0.105
kar;0;13;0.0;0.025;0.025
dykker;0;13;0.0;0.026;0.026
oss;5;8;0.032;0.042;0.01
drøm;8;4;0.056;0.009;-0.047
arkeolog;2;10;0.035;0.011;-0.024
eskort;12;0;0.031;0.0;-0.031
designer;12;0;0.023;0.0;-0.023
ellie;12;0;0.006;0.0;-0.006
ida;12;0;0.116;0.0;-0.116
else;12;0;0.122;0.0;-0.122
marta;12;0;0.112;0.0;-0.112
elisabeth;12;0;0.076;0.0;-0.076
olav;0;12;0.0;0.062;0.062
maja;12;0;0.068;0.0;-0.068
statue;3;9;0.016;0.043;0.027
skredder;3;9;0.024;0.013;-0.011
sjel;12;0;0.025;0.0;-0.025
asteroide;8;3;0.068;0.028;-0.04
keiser;0;11;0.0;0.034;0.034
ev;11;0;0.017;0.0;-0.017
tobias;0;11;0.0;0.126;0.126
gunnar;0;11;0.0;0.097;0.097
astrid;11;0;0.077;0.0;-0.077
trønder;0;11;0.0;0.015;0.015
skiskytter;0;11;0.0;0.05;0.05
lag;0;10;0.0;0.043;0.043
komponist;6;4;0.007;0.021;0.015
margit;10;0;0.058;0.0;-0.058
kari;10;0;0.101;0.0;-0.101
leif;0;10;0.0;0.075;0.075
håkon;0;10;0.0;0.06;0.06
mathias;0;10;0.0;0.068;0.068
inga;10;0;0.056;0.0;-0.056
helsesøster;10;0;0.019;0.0;-0.019
klem;4;6;0.013;0.014;0.001
trenere;0;10;0.0;0.051;0.051
by;7;2;0.104;0.009;-0.096
bangladesh;7;2;0.023;0.011;-0.012
tysk;7;2;0.026;0.003;-0.024
viking;1;8;0.016;0.039;0.024
fjell;5;4;0.048;0.029;-0.018
hanna;9;0;0.07;0.0;-0.07
aleksander;0;9;0.0;0.017;0.017
danmark;6;3;0.016;0.017;0.001
aksel;0;9;0.0;0.056;0.056
hovedtrener;1;8;0.026;0.032;0.006
faglærer;9;0;0.031;0.0;-0.031
gang;4;4;0.007;0.011;0.004
diplomat;1;7;0.009;0.031;0.021
gud;2;6;0.017;0.055;0.038
morten;0;8;0.0;0.049;0.049
carl;0;8;0.0;0.019;0.019
musikk;6;2;0.023;0.012;-0.011
s;4;4;0.017;0.014;-0.003
hunn;8;0;0.02;0.0;-0.02
venninne;8;0;0.032;0.0;-0.032
lensmann;0;8;0.0;0.038;0.038
dag;6;1;0.032;0.004;-0.028
martyr;2;5;0.028;0.041;0.014
figur;0;7;0.0;0.045;0.045
senator;5;2;0.008;0.018;0.009
ingeborg;7;0;0.061;0.0;-0.061
sam;1;6;0.012;0.007;-0.005
anna;7;0;0.035;0.0;-0.035
bil;5;2;0.005;0.011;0.006
kopi;6;1;0.03;0.051;0.021
gigant;0;7;0.0;0.013;0.013
venter;1;6;0.016;0.015;-0.001
storebror;0;7;0.0;0.022;0.022
dem;0;7;0.0;0.052;0.052
prosjektleder;3;4;0.032;0.036;0.004
liten;6;0;0.02;0.0;-0.02
linje;6;0;0.023;0.0;-0.023
kamp;5;1;0.013;0.013;0.0
fodboldspiller;0;6;0.0;0.025;0.025
voksne;6;0;0.021;0.0;-0.021
saga;4;2;0.04;0.016;-0.024
sang;6;0;0.043;0.0;-0.043
ella;6;0;0.1;0.0;-0.1
marte;6;0;0.045;0.0;-0.045
einar;0;6;0.0;0.052;0.052
