ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
sarah;2;0;0.021;0;-0.021
charlotte;2;0;0.003;0;-0.003
arbeider;2;1;0.021;0.021;0.0
tysk;1;2;0.02;0.01;-0.01
politik;2;0;0.021;0;-0.021
n;2;0;0.014;0;-0.014
uk;2;0;0.014;0;-0.014
avis;2;0;0.016;0;-0.016
lise;2;0;0.018;0;-0.018
stemme;2;0;0.009;0;-0.009
slekt;1;2;0.051;0.022;-0.029
arts;2;0;0.022;0;-0.022
produsent;1;2;0.009;0.019;0.01
by;2;1;0.026;0.01;-0.016
nick;0;2;0;0.011;0.011
farmer;0;2;0;0.026;0.026
adam;0;2;0;0.007;0.007
noel;0;2;0;0.006;0.006
brian;0;2;0;0.003;0.003
bok;0;2;0;0.014;0.014
kaptein;0;2;0;0.007;0.007
gitarist;0;2;0;0.012;0.012
alf;0;2;0;0.011;0.011
mark;0;2;0;0.015;0.015
norge;1;0;0.012;0;-0.012
vind;1;0;0.018;0;-0.018
bin;1;0;0.017;0;-0.017
det;1;0;0.009;0;-0.009
symbol;1;0;0.091;0;-0.091
sign;1;0;0.027;0;-0.027
seg;1;0;0.013;0;-0.013
teddy;1;0;0.009;0;-0.009
familien;1;0;0.017;0;-0.017
opera;1;0;0.016;0;-0.016
barne;1;0;0.024;0;-0.024
regent;1;0;0.018;0;-0.018
mand;1;0;0.019;0;-0.019
engelsk;1;1;0.012;0.015;0.003
hannah;1;0;0.026;0;-0.026
lucy;1;0;0.007;0;-0.007
sanger;1;0;0.011;0;-0.011
brit;1;0;0.01;0;-0.01
bulgarien;1;0;0.043;0;-0.043
stat;1;0;0.041;0;-0.041
ek;1;0;0.004;0;-0.004
sol;1;0;0.004;0;-0.004
grein;1;0;0.048;0;-0.048
person;1;0;0.017;0;-0.017
student;1;1;0.01;0.019;0.009
vok;1;0;0.019;0;-0.019
planete;1;0;0.109;0;-0.109
planet;1;0;0.073;0;-0.073
mag;1;0;0.028;0;-0.028
##hver;1;0;0.011;0;-0.011
designer;1;0;0.019;0;-0.019
v;1;1;0.016;0.014;-0.002
astronom;1;0;0.014;0;-0.014
linné;1;0;0.024;0;-0.024
manager;1;1;0.011;0.008;-0.003
fjell;1;0;0.058;0;-0.058
rolle;1;0;0.019;0;-0.019
base;1;0;0.007;0;-0.007
tv;1;0;0.015;0;-0.015
russisk;1;0;0.027;0;-0.027
kunst;1;0;0.015;0;-0.015
rektor;1;0;0.016;0;-0.016
lisa;1;0;0.015;0;-0.015
grad;1;0;0.018;0;-0.018
##l;1;0;0.027;0;-0.027
solo;1;0;0.007;0;-0.007
bygd;1;0;0.02;0;-0.02
artist;1;0;0.015;0;-0.015
fr;1;0;0.014;0;-0.014
julia;1;0;0.005;0;-0.005
forfatter;0;1;0;0.021;0.021
bro;0;1;0;0.008;0.008
