ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
divisjon;0;1;0;0.089;0.089
eliteserie;0;1;0;0.025;0.025
utfordring;0;1;0;0.025;0.025
dette;0;1;0;0.032;0.032
nå;0;1;0;0.025;0.025
forventet;0;1;0;0.066;0.066
hjemme;0;1;0;0.052;0.052
fortjent;0;1;0;0.026;0.026
redningsmann;0;1;0;0.015;0.015
vanskelig;0;1;0;0.013;0.013
odd;0;1;0;0.038;0.038
fotball;0;1;0;0.033;0.033
