OCCUPATION;p(SHE);p(HE);ppbs
taxisjåfør;0.107;0.893;0.786
teknisk tegner;0.374;0.626;0.252
tekstforfatter;0.547;0.453;-0.094
telekommunikasjonsmontør;0.049;0.951;0.902
toller;0.471;0.529;0.058
trafikklærer;0.238;0.762;0.524
tv-fotograf;0.322;0.678;0.356
tømrer;0.011;0.989;0.978
urmaker;0.138;0.862;0.724
byggdrifter / vaktmester;0.097;0.903;0.806
vekter;0.238;0.762;0.524
verktøymaker;0.011;0.989;0.978
vernepleier;0.759;0.241;-0.518
veterinær;0.779;0.221;-0.558
webdesigner;0.423;0.577;0.154
økonom;0.62;0.38;-0.24
økonomisjef;0.348;0.652;0.304
mediegrafiker;0.492;0.508;0.016
kjøttskjærer;0.049;0.951;0.902
finmekaniker;0.083;0.917;0.834
båtbygger;0.068;0.932;0.864
låsesmed;0.024;0.976;0.952
sjømathandler;0.409;0.591;0.182
asfaltør;0.084;0.916;0.832
banemontør;0.048;0.952;0.904
signalmontør;0.025;0.975;0.95
betongfagarbeider;0.011;0.989;0.978
reservedelsekspeditør;0.125;0.875;0.75
ikt-servicemedarbeider;0.275;0.725;0.45
herreskredder;0.699;0.301;-0.398
ernæringskokk;0.784;0.216;-0.568
produksjonselektroniker;0.328;0.672;0.344
brønnoperatør sementering;0.025;0.975;0.95
elektroreparatør;0.092;0.908;0.816
bunadtilvirker;0.951;0.049;-0.902
stillasbygger;0.006;0.994;0.988
bilskadereparatør;0.019;0.981;0.962
fjell- og bergverksarbeider;0.056;0.944;0.888
anleggsmaskinmekaniker;0.012;0.988;0.976
hestefaglært;0.826;0.174;-0.652
flysystemmekaniker;0.052;0.948;0.896
fagoperatør i limtreproduksjonsfaget;0.131;0.869;0.738
skogsoperatør;0.055;0.945;0.89
bore- og vedlikeholdsoperatør;0.084;0.916;0.832
gipsmaker;0.031;0.969;0.938
seilmaker;0.478;0.522;0.044
landbruksmaskinmekaniker;0.031;0.969;0.938
glassfagarbeider;0.073;0.927;0.854
steinfagarbeider;0.052;0.948;0.896
serigraf;0.217;0.783;0.566
energioperatør;0.062;0.938;0.876
tekstilrenser;0.635;0.365;-0.27
garver;0.674;0.326;-0.348
aluminiumskonstruktør;0.139;0.861;0.722
dataelektroniker;0.098;0.902;0.804
vei- og anleggsarbeider;0.049;0.951;0.902
litteraturviter;0.596;0.404;-0.192
spillprogrammerer;0.12;0.88;0.76
gravferdskonsulent;0.421;0.579;0.158
byggingeniør;0.185;0.815;0.63
brønnoperatør havbunnsinstallasjoner;0.032;0.968;0.936
kunsthistoriker;0.622;0.378;-0.244
avisbud;0.133;0.867;0.734
idrettsutøver;0.195;0.805;0.61
havnesjef;0.135;0.865;0.73
fotballdommer;0.517;0.483;-0.034
sportsdommer;0.517;0.483;-0.034
miljøterapeut;0.698;0.302;-0.396
psykoterapeut;0.754;0.246;-0.508
manuellterapeut;0.314;0.686;0.372
økonomikonsulent;0.595;0.405;-0.19
cnc-operatør;0.101;0.899;0.798
kjeveortoped;0.461;0.539;0.078
anestesisykepleier;0.717;0.283;-0.434
vikler;0.123;0.877;0.754
menighetspedagog;0.692;0.308;-0.384
kirkeverge;0.518;0.482;-0.036
utmarksforvalter;0.094;0.906;0.812
landbrukssjef;0.519;0.481;-0.038
planteinspektør;0.719;0.281;-0.438
landbruksrådgiver;0.475;0.525;0.05
mikrobiolog;0.788;0.212;-0.576
vinkelner;0.318;0.682;0.364
finansanalytiker;0.45;0.55;0.1
flyinstruktør;0.106;0.894;0.788
intensivsykepleier;0.874;0.126;-0.748
dramaturg;0.667;0.333;-0.334
marin bioteknolog;0.612;0.388;-0.224
samfunnsgeograf;0.55;0.45;-0.1
klinisk sosionom;0.854;0.146;-0.708
reindriftsutøver;0.095;0.905;0.81
barne- og ungdomspsykiater;0.553;0.447;-0.106
billedkunstner;0.564;0.436;-0.128
kunst- og kulturformidler;0.659;0.341;-0.318
lokomotivfører;0.071;0.929;0.858
trikkefører;0.227;0.773;0.546
undervisningsinspektør;0.646;0.354;-0.292
misjonær;0.428;0.572;0.144
branningeniør;0.096;0.904;0.808
farmasøyt;0.814;0.186;-0.628
rådgiver i offentlig sektor;0.632;0.368;-0.264
museumsformidler;0.675;0.325;-0.35
komposittbåtbygger;0.159;0.841;0.682
trebåtbygger;0.062;0.938;0.876
antikvar;0.561;0.439;-0.122
instrumentalpedagog;0.547;0.453;-0.094
fagoperatør i trelastfaget;0.114;0.886;0.772
maskinist;0.028;0.972;0.944
kommunikasjonsrådgiver;0.62;0.38;-0.24
driftsoperatør i idrettsanlegg;0.183;0.817;0.634
dimensjonskontrollør;0.073;0.927;0.854
fagoperatør i fiskeredskapsfaget;0.351;0.649;0.298
fagarbeider industriell matproduksjon;0.353;0.647;0.294
chassispåbygger;0.012;0.988;0.976
bilmekaniker (tunge kjøretøy);0.013;0.987;0.974
fagarbeider sjømatproduksjon;0.37;0.63;0.26
industrisnekker;0.099;0.901;0.802
strikkehåndverker;1.0;0.0;-1.0
eksponeringsdesigner;0.82;0.18;-0.64
flystrukturmekaniker;0.052;0.948;0.896
vaskerioperatør;0.593;0.407;-0.186
maskinsjef;0.006;0.994;0.988
prosessingeniør;0.222;0.778;0.556
kurator;0.651;0.349;-0.302
rekvisitør;0.269;0.731;0.462
musikkterapeut;0.6;0.4;-0.2
musikkprodusent;0.232;0.768;0.536
brønnoperatør for mekaniske kabeloperasjoner;0.088;0.912;0.824
allmennlege;0.392;0.608;0.216
overstyrmann;0.031;0.969;0.938
hjemmehjelp;0.89;0.11;-0.78
kaptein;0.01;0.99;0.98
personlig trener;0.656;0.344;-0.312
fabrikksjef. fiske;0.023;0.977;0.954
produktutvikler fiskefôr;0.143;0.857;0.714
fiskehelsebiolog;0.199;0.801;0.602
it-administrator;0.193;0.807;0.614
supportkonsulent;0.252;0.748;0.496
nettverkstekniker;0.115;0.885;0.77
fagoperatør i polymerkompositt / herdeplast;0.162;0.838;0.676
miljørådgiver;0.53;0.47;-0.06
adjunkt;0.705;0.295;-0.41
pedagogisk-psykologisk rådgiver (pp-rådgiver);0.898;0.102;-0.796
interaksjonsdesigner;0.32;0.68;0.36
fagoperatør i produksjonsteknikk;0.215;0.785;0.57
modellbygger;0.028;0.972;0.944
matteknolog;0.652;0.348;-0.304
samfunnsplanlegger;0.515;0.485;-0.03
arealplanlegger;0.592;0.408;-0.184
gjenvinningsoperatør;0.087;0.913;0.826
industriell overflatebehandler;0.036;0.964;0.928
jobbveileder;0.71;0.29;-0.42
advokatassistent;0.923;0.077;-0.846
ndt-kontrollør;0.081;0.919;0.838
støper;0.054;0.946;0.892
bilpleier;0.17;0.83;0.66
fagoperatør i plastfag;0.162;0.838;0.676
ingeniør i energi og miljø i bygg;0.193;0.807;0.614
pleiemedarbeider;0.775;0.225;-0.55
industrimontør;0.051;0.949;0.898
kantinemedarbeider;0.639;0.361;-0.278
profileringsdesigner;0.528;0.472;-0.056
miljøarbeider;0.636;0.364;-0.272
personalrådgiver;0.654;0.346;-0.308
fagoperatør i termoplast;0.158;0.842;0.684
innkjøper;0.391;0.609;0.218
fagoperatør i grafisk produksjonsteknikk;0.241;0.759;0.518
støttekontakt;0.601;0.399;-0.202
systemutvikler;0.19;0.81;0.62
telefonselger;0.407;0.593;0.186
salgssjef;0.241;0.759;0.518
kjøkkensjef;0.329;0.671;0.342
studiekonsulent;0.709;0.291;-0.418
hjelpearbeider innen bygg og anlegg;0.089;0.911;0.822
familierådgiver;0.789;0.211;-0.578
hotellmedarbeider;0.671;0.329;-0.342
skolefritidsleder (sfo);0.807;0.193;-0.614
kundeansvarlig (salg);0.355;0.645;0.29
forretningsutvikler;0.367;0.633;0.266
barista;0.786;0.214;-0.572
it-leder;0.167;0.833;0.666
veiplanlegger;0.318;0.682;0.364
avløser;0.319;0.681;0.362
jordskiftekandidat;0.249;0.751;0.502
geodataingeniør;0.308;0.692;0.384
it-arkitekt;0.17;0.83;0.66
statistiker;0.437;0.563;0.126
it-prosjektleder;0.391;0.609;0.218
jordskiftedommer;0.258;0.742;0.484
røkter;0.187;0.813;0.626
lufthavnbetjent;0.055;0.945;0.89
trafikkbetjent (parkering);0.243;0.757;0.514
arrangementsplanlegger;0.492;0.508;0.016
barnehagestyrer;0.894;0.106;-0.788
filmfotograf;0.342;0.658;0.316
flymekaniker;0.057;0.943;0.886
flytekniker;0.045;0.955;0.91
dyrefagarbeider;0.863;0.137;-0.726
brønnborer fastland;0.016;0.984;0.968
sikkerhetsrådgiver (it);0.159;0.841;0.682
dataanalytiker (data scientist);0.209;0.791;0.582
anleggsrørlegger;0.004;0.996;0.992
medietekniker;0.107;0.893;0.786
ventilasjonstekniker;0.023;0.977;0.954
fagoperatør i trelast- og limtreproduksjon;0.074;0.926;0.852
fagoperatør i industritekstilfaget;0.734;0.266;-0.468
forlagsmedarbeider;0.658;0.342;-0.316
kulturskolelærer;0.659;0.341;-0.318
