Occupations;female;male
Fabrikksjef, fiske;2,3;97,7
Produktutvikler fiskefôr;14,3;85,7
Fiskehelsebiolog;19,9;80,1
IT-administrator;19,3;80,7
Supportkonsulent;25,2;74,8
Nettverkstekniker;11,5;88,5
Fagoperatør i polymerkompositt / herdeplast;16,2;83,8
Miljørådgiver;53;47
Adjunkt;70,5;29,5
Pedagogisk-psykologisk rådgiver (PP-rådgiver);89,8;10,2
Interaksjonsdesigner;32;68
Fagoperatør i produksjonsteknikk;21,5;78,5
Modellbygger;2,8;97,2
Matteknolog;65,2;34,8
Samfunnsplanlegger;51,5;48,5
Arealplanlegger;59,2;40,8
Gjenvinningsoperatør;8,7;91,3
Industriell overflatebehandler;3,6;96,4
Jobbveileder;71;29
Advokatassistent;92,3;7,7
NDT-kontrollør;8,1;91,9
Støper;5,4;94,6
Bilpleier;17;83
Fagoperatør i plastfag;16,2;83,8
Ingeniør i energi og miljø i bygg;19,3;80,7
Pleiemedarbeider;77,5;22,5
Industrimontør;5,1;94,9
Kantinemedarbeider;63,9;36,1
Profileringsdesigner;52,8;47,2
Miljøarbeider;63,6;36,4
Personalrådgiver;65,4;34,6
Fagoperatør i termoplast;15,8;84,2
Innkjøper;39,1;60,9
Fagoperatør i grafisk produksjonsteknikk;24,1;75,9
Støttekontakt;60,1;39,9
Systemutvikler;19;81
Telefonselger;40,7;59,3
Salgssjef;24,1;75,9
Kjøkkensjef;32,9;67,1
Studiekonsulent;70,9;29,1
Hjelpearbeider innen bygg og anlegg;8,9;91,1
Familierådgiver;78,9;21,1
Hotellmedarbeider;67,1;32,9
Skolefritidsleder (SFO);80,7;19,3
Kundeansvarlig (salg);35,5;64,5
Forretningsutvikler;36,7;63,3
Barista;78,6;21,4
IT-leder;16,7;83,3
Veiplanlegger;31,8;68,2
Avløser;31,9;68,1
Jordskiftekandidat;24,9;75,1
Geodataingeniør;30,8;69,2
IT-arkitekt;17;83
Statistiker;43,7;56,3
IT-prosjektleder;39,1;60,9
Jordskiftedommer;25,8;74,2
Røkter;18,7;81,3
Lufthavnbetjent;5,5;94,5
Trafikkbetjent (parkering);24,3;75,7
Arrangementsplanlegger;49,2;50,8
Barnehagestyrer;89,4;10,6
Filmfotograf;34,2;65,8
Flymekaniker;5,7;94,3
Flytekniker;4,5;95,5
Dyrefagarbeider;86,3;13,7
Brønnborer fastland;1,6;98,4
Sikkerhetsrådgiver (IT);15,9;84,1
Dataanalytiker (data scientist);20,9;79,1
Anleggsrørlegger;0,4;99,6
Medietekniker;10,7;89,3
Ventilasjonstekniker;2,3;97,7
Fagoperatør i trelast- og limtreproduksjon;7,4;92,6
Fagoperatør i industritekstilfaget;73,4;26,6
Forlagsmedarbeider;65,8;34,2
Kulturskolelærer;65,9;34,1
